Part or Item Number,Item Category,Item Name,Current Stock,On Order,Max Capacity,Price Per Unit,Cost Per Unit,Price to Cost Ratio,Sold Price,Sizes,Description,In Store + On Order,Stock Status,Overstocked,Cost of Current Order,Total Cost in Stock,Total Stocked Item Cost
1,Dhoti Suit,Yellow DS,1,0,1,dh139.00,dh54.00,2.6,,Free,,1,In Stock, ,dh0.00,dh54.00,dh139.00
2,Dhoti Suit,Yellow DS,1,0,1,dh139.00,dh54.00,2.6,,Free,,1,In Stock, ,dh0.00,dh54.00,dh139.00
3,Dhoti Suit,White DS,1,0,1,dh139.00,dh54.00,2.6,,Free,,1,In Stock, ,dh0.00,dh54.00,dh139.00
4,Dhoti Suit,Golden DS,1,0,1,dh139.00,dh54.00,2.6,,Free,,1,In Stock, ,dh0.00,dh54.00,dh139.00
5,Dhoti Suit,Mergenta DS,1,0,1,dh139.00,dh54.00,2.6,,Free,,1,In Stock, ,dh0.00,dh54.00,dh139.00
6,Dhoti Suit,Brick DS,1,0,1,dh139.00,dh54.00,2.6,,Free,,1,In Stock, ,dh0.00,dh54.00,dh139.00
7,Dhoti Suit,Green DS,1,0,1,dh139.00,dh54.00,2.6,,Free,,1,In Stock, ,dh0.00,dh54.00,dh139.00
8,Dhoti Suit,Red DS,1,0,1,dh139.00,dh54.00,2.6,,Free,,1,In Stock, ,dh0.00,dh54.00,dh139.00
9,Plazzo Suit,Purple PS,1,0,1,dh139.00,dh54.00,2.6,,Free,,1,In Stock, ,dh0.00,dh54.00,dh139.00
10,Mul Chanderi Cord Set,Brick MCCS,1,0,1,dh250.00,dh91.00,2.7,,L,,1,In Stock, ,dh0.00,dh91.00,dh250.00
11,Mul Chanderi Cord Set,Brick MCCS,1,0,1,dh250.00,dh91.00,2.7,,XXL,,1,In Stock, ,dh0.00,dh91.00,dh250.00
12,Mul Chanderi Cord Set,Mehndi MCCS,1,0,1,dh250.00,dh91.00,2.7,,M,,1,In Stock, ,dh0.00,dh91.00,dh250.00
13,Mul Chanderi Cord Set,Mehndi MCCS,1,0,1,dh250.00,dh91.00,2.7,,XL,,1,In Stock, ,dh0.00,dh91.00,dh250.00
14,Mul Chanderi Cord Set,Teal Green MCCS,1,0,1,dh250.00,dh91.00,2.7,,M,,1,In Stock, ,dh0.00,dh91.00,dh250.00
15,Mul Chanderi Cord Set,Teal Green MCCS,1,0,1,dh250.00,dh91.00,2.7,159,XL,sold,1,In Stock, ,dh0.00,dh91.00,dh250.00
